isBeaOn,isCarolOn,isMichaelOn,isNoon,giselleKnowsHowToPlay,michaelKnowsHowToPlay,carolKnowsHowToPlay,beaKnowsHowToPlay,champion1,champion2,champion3,champion4,champion5,weWon,isGadoOn,weHaveTank,weHaveAdc,weHaveApc,weHaveBruiser,weHaveSup,gameDateMilliseconds,matchId
True,False,True,False,1.0,0.0,2.0,0.0,Ornn,Yone,Kayle,Xayah,Draven,False,False,True,True,False,False,False,1709347709647.0,BR1_2901823414
False,True,True,False,0.0,0.0,0.0,2.0,Ryze,Evelynn,Aatrox,MonkeyKing,Graves,False,False,False,False,True,True,False,1709346285352.0,BR1_2901800898
False,False,True,False,1.0,1.0,2.0,2.0,JarvanIV,Ezreal,Ryze,TwistedFate,Brand,True,False,False,True,True,False,False,1709344993722.0,BR1_2901788369
False,True,True,False,0.0,1.0,1.0,2.0,XinZhao,Illaoi,Lucian,Morgana,Ryze,False,False,False,True,True,True,False,1709259781738.0,BR1_2901302223
False,True,True,False,0.0,1.0,0.0,2.0,Caitlyn,Velkoz,Veigar,Darius,Riven,False,False,False,True,True,True,False,1709258746814.0,BR1_2901283985
False,True,True,False,0.0,1.0,1.0,2.0,Kayn,Karthus,MissFortune,Morgana,Fiora,False,False,False,True,True,False,False,1709217711964.0,BR1_2900959302
False,False,True,False,0.0,0.0,2.0,2.0,Morgana,Sylas,Kassadin,Lucian,Nocturne,True,False,False,True,True,False,False,1709404924557.0,BR1_2902115301
False,True,True,False,1.0,1.0,0.0,2.0,Jhin,Jinx,Xerath,Briar,Twitch,True,False,False,True,True,True,False,1709216053019.0,BR1_2900949586
False,False,True,False,0.0,0.0,2.0,2.0,Kayle,Sylas,Fizz,Ziggs,Thresh,True,False,True,False,True,False,True,1709214376896.0,BR1_2900939731
False,False,True,False,0.0,1.0,2.0,2.0,MonkeyKing,LeeSin,Tristana,Corki,Ryze,True,False,False,True,True,True,False,1709171191344.0,BR1_2900784010
False,False,True,False,1.0,1.0,2.0,2.0,Fiora,Nidalee,Riven,Kayle,Gragas,False,False,False,False,False,True,False,1709170063484.0,BR1_2900768363
False,True,True,False,1.0,0.0,1.0,2.0,Quinn,Lux,Ornn,Xayah,Zoe,False,False,True,True,True,False,False,1709168828805.0,BR1_2900747690
False,False,True,False,0.0,0.0,2.0,2.0,Veigar,Caitlyn,Soraka,Corki,Malphite,True,False,True,True,True,False,True,1709132001660.0,BR1_2900465648
False,False,True,False,1.0,1.0,2.0,2.0,Xerath,Ryze,Nautilus,Ekko,Pyke,False,False,True,False,True,False,True,1709130396487.0,BR1_2900460474
False,False,True,False,0.0,0.0,2.0,2.0,Darius,Morgana,Caitlyn,Jhin,Leblanc,False,False,False,True,True,True,False,1709129130605.0,BR1_2900456510
False,True,True,False,1.0,0.0,1.0,2.0,Ahri,Lux,Akali,Pyke,Caitlyn,False,False,False,True,True,False,False,1709086494649.0,BR1_2900338990
False,False,True,False,1.0,0.0,2.0,2.0,Jinx,Lux,Ornn,Xayah,Sylas,False,False,True,True,True,False,False,1709084570434.0,BR1_2900321409
False,False,True,False,0.0,1.0,2.0,2.0,Ashe,Renekton,Corki,Irelia,MonkeyKing,False,False,False,True,False,True,False,1709081380954.0,BR1_2900283771
False,False,False,False,1.0,2.0,2.0,2.0,Soraka,Vayne,Nidalee,Twitch,Yasuo,False,False,False,True,False,False,True,1709041139823.0,BR1_2899948228
True,False,True,False,0.0,0.0,2.0,0.0,Gragas,Garen,Mordekaiser,Brand,Azir,False,True,False,False,True,True,False,1709412480842.0,BR1_2902181879
True,False,True,False,1.0,0.0,2.0,1.0,Xerath,Malphite,LeeSin,Karma,Gragas,False,True,True,False,True,True,True,1709411234400.0,BR1_2902166939
True,False,True,False,1.0,1.0,2.0,1.0,TwistedFate,Jinx,Mordekaiser,Soraka,Riven,True,True,False,True,True,True,True,1709409721031.0,BR1_2902162088
